drug,protein
73,0
73,1
73,2
73,3
73,4
73,5
73,6
73,7
146,8
146,9
146,10
146,11
146,12
247,13
247,14
247,15
247,16
247,17
247,18
247,19
247,20
247,21
247,22
247,23
247,24
247,25
247,26
247,27
245,28
245,29
245,30
245,31
245,32
245,33
245,34
245,35
245,36
245,37
245,38
245,39
245,14
245,17
245,26
53,40
53,41
53,42
53,43
53,44
53,45
53,46
53,47
53,48
53,49
53,50
53,51
53,52
53,28
53,53
53,30
53,54
53,5
53,6
164,55
164,2
164,56
164,57
164,58
164,59
164,60
164,61
164,62
164,54
164,32
164,63
164,39
164,33
164,31
164,38
164,14
164,37
164,30
164,34
164,53
164,52
164,3
164,4
164,5
164,6
164,7
10,64
10,65
10,66
10,67
10,68
10,69
10,70
10,71
10,34
10,14
10,38
10,72
10,62
10,33
10,39
10,37
10,35
10,36
10,73
10,74
10,75
10,76
10,77
10,78
10,79
10,26
10,15
107,29
107,34
107,36
107,35
107,27
107,26
107,17
107,15
107,21
107,18
64,80
64,81
64,82
64,35
64,31
64,34
64,36
64,32
64,14
64,37
64,33
64,83
64,30
64,17
196,40
196,35
196,17
196,4
196,26
196,21
196,3
196,15
196,16
234,28
234,84
234,34
234,30
234,31
234,38
234,17
138,13
138,85
138,86
138,87
138,34
138,35
138,36
138,14
138,37
138,30
138,72
138,73
138,78
138,17
138,18
138,15
138,21
138,26
255,88
255,89
255,90
255,23
255,91
178,92
178,93
178,94
178,95
178,87
178,96
178,37
178,38
178,14
178,39
178,34
178,97
178,35
178,36
178,72
178,75
178,76
178,30
178,98
178,17
178,21
91,99
91,67
91,100
91,68
91,101
91,94
91,102
91,103
91,104
91,105
91,62
91,34
91,14
91,37
91,32
91,23
91,17
91,15
91,16
91,26
80,106
80,107
80,94
80,34
80,14
80,39
80,30
80,54
80,37
80,32
80,36
80,17
80,26
80,15
80,27
150,48
150,49
150,87
150,30
150,34
150,3
150,17
211,80
211,81
211,86
211,108
211,109
211,31
211,34
211,32
211,33
211,83
211,14
211,30
211,24
98,92
98,110
98,111
98,112
98,29
98,113
98,114
98,34
98,31
98,4
98,3
136,115
136,116
136,92
136,117
136,118
136,114
136,113
136,34
136,30
136,35
136,36
136,31
136,37
136,14
136,97
136,54
136,39
136,6
136,17
156,119
156,120
156,121
156,87
156,30
156,14
156,34
156,78
156,72
156,79
156,122
156,73
156,17
223,93
223,115
223,123
223,95
223,118
223,92
223,116
223,86
223,70
223,69
223,64
223,87
223,54
223,39
223,37
223,35
223,124
223,31
223,97
223,38
223,14
223,34
223,74
223,77
223,75
223,73
223,78
223,79
223,76
223,72
223,6
223,19
223,20
223,25
223,24
223,16
44,124
44,125
44,126
44,127
44,71
44,32
44,31
44,34
44,30
44,54
44,72
44,75
44,76
44,79
44,128
44,129
44,17
28,117
28,87
28,114
28,30
28,34
28,35
28,33
28,37
28,38
28,17
28,23
95,130
95,131
95,45
95,132
95,34
95,17
52,42
52,28
52,133
52,134
52,121
52,120
52,135
52,43
52,45
52,84
52,136
52,137
52,138
52,139
52,140
52,44
52,141
52,130
52,119
52,131
52,142
52,110
52,111
52,112
52,143
52,144
52,87
52,114
52,30
52,31
52,38
52,37
52,34
52,35
52,39
52,14
52,72
52,17
157,110
157,111
157,112
157,30
157,34
157,6
157,7
144,119
144,60
144,121
144,145
144,113
144,96
144,34
144,38
144,35
144,36
144,30
144,39
144,14
144,62
144,31
144,97
144,37
144,17
17,133
17,51
17,146
17,147
17,148
17,149
17,134
17,131
17,130
17,150
17,140
17,145
17,142
17,141
17,84
17,43
17,44
17,45
17,46
17,47
17,110
17,111
17,112
17,143
17,144
17,132
17,137
17,138
17,151
17,152
17,153
17,154
17,155
17,156
17,157
17,158
17,159
17,160
17,161
17,162
17,163
17,164
17,165
17,166
17,48
17,49
17,50
17,87
17,114
17,31
17,30
17,167
17,38
17,34
17,72
17,17
244,29
244,84
244,112
244,110
244,144
244,143
244,111
244,34
244,36
244,30
244,35
244,14
244,168
244,17
244,26
96,169
96,34
96,35
96,36
96,38
96,30
96,14
96,17
0,151
0,152
0,153
0,154
0,155
0,156
0,157
0,158
0,159
0,160
0,161
0,162
0,163
0,164
0,165
0,166
0,34
0,38
0,39
0,97
0,30
0,17
242,170
242,81
242,1
242,34
242,62
242,30
242,0
242,17
81,51
81,133
81,146
81,149
81,148
81,134
81,131
81,130
81,150
81,140
81,145
81,142
