disease,protein
289,357
289,358
289,221
289,359
289,360
289,361
289,362
289,363
289,319
289,192
289,364
289,365
289,366
289,367
289,368
289,318
289,241
289,240
289,117
289,369
289,370
289,371
289,372
289,373
289,374
289,375
289,376
289,377
289,378
289,379
289,380
289,381
289,382
289,383
289,29
289,384
289,385
289,386
289,387
289,52
289,388
289,389
289,390
289,10
289,391
289,392
289,393
289,394
289,395
289,396
289,397
289,398
289,64
289,125
289,399
289,400
289,401
289,402
289,403
289,404
289,337
289,405
289,406
289,407
289,408
289,409
289,410
289,213
289,411
289,330
289,412
289,413
289,414
289,415
289,416
289,417
289,418
191,357
191,419
191,81
191,48
191,420
191,421
191,352
191,422
191,423
191,424
191,252
191,425
191,426
191,427
191,319
191,428
191,429
191,191
191,430
191,431
191,432
191,111
191,55
191,219
191,220
191,105
191,433
191,434
191,435
191,38
191,30
191,248
191,146
191,51
191,149
191,148
191,147
191,436
191,99
191,302
191,187
191,437
191,438
191,439
191,159
191,440
191,441
191,442
191,11
191,443
191,444
191,445
191,446
191,447
191,448
191,177
191,449
191,450
191,451
191,452
191,28
191,453
191,454
191,134
191,131
191,133
191,140
191,141
191,455
191,456
191,457
191,380
191,458
191,459
191,460
191,385
191,53
191,52
191,461
191,176
191,8
191,10
191,462
191,463
191,464
191,394
191,465
191,466
191,467
191,468
191,120
191,119
191,396
191,469
191,470
191,471
191,17
191,472
191,473
191,474
191,345
191,253
191,475
191,476
191,477
191,478
191,479
191,125
191,480
191,481
191,482
191,483
191,484
191,485
191,486
191,487
191,488
191,42
191,41
191,40
191,489
191,311
191,403
191,405
191,490
191,333
191,491
191,492
191,408
191,493
191,494
191,495
191,104
191,330
191,496
191,497
191,498
191,499
191,500
191,501
191,502
191,503
191,504
178,357
178,358
178,421
178,505
178,422
178,506
178,507
178,508
178,509
178,112
178,219
178,220
178,510
178,511
178,512
178,366
178,513
178,368
178,31
178,514
178,515
178,370
178,516
178,302
178,437
178,189
178,517
178,86
178,518
178,519
178,458
178,520
178,521
178,522
178,523
178,524
178,525
178,526
178,527
178,528
178,250
178,481
178,529
178,404
178,530
178,491
178,531
178,494
178,330
178,532
178,533
313,357
313,534
313,535
313,0
313,358
313,536
313,81
313,44
313,421
313,422
313,537
313,538
313,252
313,280
313,539
313,540
313,424
313,425
313,382
313,541
313,542
313,543
313,365
313,21
313,219
313,510
313,511
313,512
313,544
313,545
313,367
313,343
313,435
313,513
313,546
313,31
313,547
313,304
313,548
313,436
313,549
313,550
313,516
313,302
313,551
313,552
313,553
313,554
313,517
313,442
313,555
313,556
313,446
313,557
313,558
313,451
313,518
313,453
313,559
313,519
313,455
313,378
313,456
313,380
313,560
313,460
313,561
313,562
313,563
313,564
313,565
313,566
313,567
313,520
313,521
313,568
313,385
313,386
313,569
313,570
313,571
313,572
313,388
313,573
313,574
313,523
313,390
313,575
313,392
313,524
313,576
313,394
313,465
313,359
313,577
313,344
313,185
313,17
313,578
313,250
313,579
313,474
313,580
313,476
313,124
313,125
313,581
313,399
313,582
313,483
313,529
313,583
313,404
313,406
313,491
313,407
313,584
313,585
313,332
313,408
313,410
313,330
313,532
313,127
313,586
313,313
313,587
313,588
313,589
313,590
313,591
53,357
53,49
53,513
53,248
53,592
53,593
53,594
53,595
53,186
53,321
53,577
53,344
53,528
53,596
53,125
53,597
53,598
53,403
53,491
53,599
53,408
53,330
54,357
54,600
54,601
54,352
54,602
54,539
54,359
54,360
54,603
54,604
54,605
54,606
54,363
54,607
54,183
54,608
54,609
54,610
54,364
54,430
54,365
54,611
54,612
54,431
54,575
54,58
54,613
54,2
54,61
54,614
54,513
54,368
54,31
54,83
54,54
54,32
54,615
54,616
54,248
54,617
54,241
54,618
54,117
54,619
54,620
54,369
54,621
54,622
