drug,disease
238,0
432,0
500,0
34,1
36,1
56,1
72,1
161,1
242,1
248,1
461,1
500,1
568,1
588,1
643,1
83,2
22,3
83,3
87,3
154,3
198,3
261,3
273,3
313,3
318,3
353,3
401,3
449,3
464,3
314,4
275,5
303,5
387,5
110,6
275,6
374,6
492,6
49,7
194,7
248,7
291,7
311,7
371,7
408,7
66,8
99,8
122,8
164,8
202,8
222,8
242,8
268,8
359,8
574,8
19,9
99,9
142,9
297,9
377,9
455,9
486,9
490,9
19,10
142,10
297,10
377,10
455,10
486,10
490,10
452,11
624,11
644,11
648,11
655,11
27,12
229,12
252,12
322,12
426,12
458,12
301,13
430,13
331,14
330,15
123,16
191,16
275,16
439,16
504,16
544,16
585,16
574,17
47,18
116,18
131,18
178,18
209,18
251,18
262,18
327,18
389,18
400,18
422,18
478,18
479,18
532,18
586,18
61,19
70,19
90,19
176,19
227,19
241,19
453,19
484,19
505,19
556,19
571,19
95,20
144,20
213,20
241,20
438,20
462,20
71,21
114,21
245,21
260,21
266,21
570,21
640,21
170,22
224,22
337,23
0,24
83,24
87,24
123,24
174,24
177,24
198,24
229,24
241,24
244,24
271,24
298,24
353,24
431,24
456,24
462,24
469,24
518,24
558,24
575,24
583,24
596,24
601,24
229,25
241,25
284,25
341,25
518,25
153,26
69,27
268,27
517,27
522,27
548,27
560,27
42,28
66,28
81,28
139,28
245,28
292,28
412,28
485,28
497,28
523,28
526,28
582,28
292,29
18,30
441,31
415,32
552,33
358,34
552,34
337,35
141,36
149,36
301,36
321,36
339,36
357,36
363,36
430,36
576,36
19,37
34,37
63,37
72,37
99,37
142,37
145,37
161,37
297,37
331,37
365,37
377,37
455,37
490,37
175,38
275,38
328,38
426,38
473,38
560,38
587,38
1,39
464,39
53,40
85,40
110,40
160,40
162,40
203,40
296,40
324,40
376,40
414,40
475,40
482,40
499,40
529,40
533,40
603,40
53,41
85,41
110,41
160,41
162,41
203,41
296,41
324,41
376,41
414,41
475,41
482,41
499,41
529,41
533,41
603,41
3,42
662,42
53,43
85,43
110,43
160,43
162,43
203,43
296,43
324,43
376,43
414,43
475,43
482,43
499,43
527,43
529,43
533,43
603,43
29,44
61,44
275,44
330,44
387,44
415,44
459,44
571,44
576,44
287,45
210,46
29,47
242,47
0,48
94,48
133,48
261,48
318,48
437,48
449,48
624,48
49,49
86,49
193,49
316,49
519,49
267,50
358,51
358,52
358,53
213,54
241,54
438,54
109,55
175,55
268,55
275,55
356,55
587,55
109,56
263,56
356,56
367,56
1,57
93,57
1,58
93,58
93,59
93,60
14,61
502,61
460,62
199,63
40,64
330,64
629,64
95,65
229,65
241,65
462,65
518,65
596,65
340,66
64,67
210,67
248,67
290,67
326,67
37,68
88,68
136,68
146,68
179,68
200,68
215,68
288,68
294,68
393,68
409,68
564,68
572,68
573,68
88,69
136,69
146,69
179,69
200,69
288,69
294,69
369,69
393,69
409,69
539,69
564,69
573,69
70,70
80,71
180,71
80,72
180,72
5,73
11,73
36,73
40,73
101,73
102,73
109,73
186,73
190,73
199,73
208,73
237,73
247,73
252,73
263,73
314,73
333,73
354,73
356,73
367,73
388,73
424,73
429,73
430,73
439,73
457,73
471,73
493,73
500,73
608,73
610,73
621,73
636,73
245,74
29,75
639,75
30,76
86,76
89,76
165,76
184,76
226,76
248,76
330,76
477,76
542,76
543,76
599,76
629,76
630,76
552,77
83,78
154,78
275,78
307,78
280,79
447,79
507,79
516,79
23,80
55,80
272,80
280,80
487,80
507,80
515,80
516,80
592,80
104,81
166,81
248,81
461,81
495,81
546,81
516,82
280,83
447,83
507,83
516,83
272,84
276,84
487,84
592,84
153,85
174,85
220,85
261,85
468,85
518,85
606,85
632,85
647,85
337,86
337,87
141,88
290,88
299,88
442,88
514,88
600,88
607,88
10,89
40,89
60,89
101,89
102,89
103,89
126,89
132,89
135,89
146,89
169,89
196,89
211,89
212,89
225,89
239,89
338,89
345,89
356,89
383,89
404,89
408,89
430,89
471,89
493,89
506,89
554,89
584,89
587,89
621,89
576,90
516,91
282,92
9,93
12,93
14,93
22,93
502,93
9,94
14,94
26,94
48,94
204,94
214,94
228,94
250,94
299,94
304,94
307,94
321,94
357,94
398,94
402,94
454,94
482,94
502,94
567,94
46,95
134,95
146,95
337,96
275,97
387,97
439,97
369,98
5,99
29,99
36,99
40,99
56,99
75,99
82,99
86,99
91,99
92,99
101,99
104,99
108,99
109,99
112,99
120,99
127,99
181,99
183,99
184,99
186,99
188,99
