drug,protein
0,0
0,1
1,2
1,3
1,4
2,5
2,805
2,6
2,7
4,8
4,9
4,10
4,11
4,12
4,13
5,14
5,806
5,15
5,16
5,17
5,18
5,19
5,20
6,21
6,22
6,23
6,24
6,25
6,26
6,27
6,28
6,29
7,807
7,808
7,30
7,31
7,32
7,809
7,33
7,34
7,810
7,35
7,36
7,811
7,37
7,812
7,813
7,38
7,39
7,40
7,814
7,41
7,42
7,43
7,44
8,45
8,815
8,46
8,47
8,48
8,49
8,50
8,51
8,52
8,53
8,54
8,49
8,55
8,45
8,816
8,817
8,56
8,57
9,58
9,59
10,818
10,819
10,820
11,60
11,821
11,822
11,823
11,61
11,62
12,58
13,63
14,58
14,824
14,64
14,825
14,826
14,65
14,66
14,827
14,828
14,67
14,68
14,69
14,829
14,70
14,71
14,72
14,73
14,830
14,831
14,832
14,74
14,75
14,76
14,77
14,78
14,79
14,80
15,81
15,833
15,82
16,83
16,84
16,85
16,86
16,87
16,88
16,89
16,90
16,91
16,92
17,93
17,834
17,94
17,95
17,96
17,97
17,98
17,99
17,100
17,101
17,835
17,102
17,103
18,836
18,104
18,105
18,106
18,107
18,837
18,108
18,109
18,110
18,838
18,111
18,839
18,840
18,112
18,113
19,841
19,114
19,115
19,116
19,117
19,118
19,119
19,120
19,842
19,121
20,122
21,123
21,124
21,125
21,126
21,127
22,58
23,128
23,129
24,130
24,131
25,132
26,133
26,134
27,114
27,135
28,136
29,137
29,138
30,139
30,140
30,141
30,142
30,143
30,144
30,145
30,146
30,147
30,148
30,843
30,149
30,150
30,151
30,152
30,153
30,130
30,154
30,153
30,844
31,155
31,156
31,157
31,158
31,159
31,160
31,161
31,162
31,163
31,164
31,845
31,846
31,165
31,166
31,847
31,167
31,155
31,156
31,157
31,159
31,846
31,165
31,166
32,149
33,168
33,169
34,170
35,143
35,130
35,140
35,154
35,153
35,171
36,172
36,143
36,130
36,173
36,174
36,175
36,848
36,176
36,177
36,178
36,179
36,91
36,180
36,181
36,182
36,183
36,184
36,849
36,185
36,186
36,147
36,148
36,843
37,149
37,150
38,131
38,850
39,8
39,9
39,11
39,851
39,187
39,188
39,12
40,186
40,47
40,189
40,190
40,191
40,192
40,193
40,194
40,195
40,47
40,196
40,51
40,197
40,198
40,199
40,200
40,201
40,852
40,202
40,203
40,204
40,205
40,206
40,207
40,208
40,209
40,210
40,211
40,212
40,213
40,214
40,215
40,216
40,217
40,218
40,192
40,51
40,200
40,201
41,201
41,219
41,853
42,131
42,220
42,854
43,139
43,221
43,222
44,223
45,224
45,225
45,226
45,227
45,228
45,229
45,230
45,231
45,232
46,144
46,145
46,146
47,233
47,234
48,235
48,236
49,130
49,237
50,238
50,239
50,855
50,240
51,856
51,857
51,241
52,149
52,150
53,242
53,243
53,244
54,143
55,128
55,245
55,129
56,67
57,235
57,246
57,247
57,248
59,136
60,155
60,156
60,157
60,158
60,159
60,160
60,249
60,20
60,250
60,251
60,155
60,156
60,157
60,158
60,159
60,160
60,161
60,162
60,163
60,164
60,845
60,846
60,165
60,166
60,847
60,167
61,252
61,253
61,254
61,255
61,256
61,858
61,257
61,258
61,259
62,83
62,84
62,114
62,85
62,260
62,261
62,262
62,859
63,177
63,140
63,237
63,130
63,143
64,152
64,263
64,264
64,265
64,266
64,267
64,240
64,239
64,238
64,860
64,173
64,268
64,269
64,237
64,144
64,145
64,147
64,148
64,843
64,177
64,270
64,176
64,271
64,861
64,272
64,273
64,862
64,863
64,864
64,865
65,152
65,274
65,266
65,265
65,148
65,238
65,267
65,147
65,240
65,843
65,264
65,263
65,239
65,173
65,269
65,144
65,145
65,146
65,149
65,150
65,263
65,264
66,275
66,276
66,118
66,277
66,278
66,131
66,70
66,71
66,72
66,73
66,830
66,831
66,832
66,74
66,76
66,179
66,279
66,155
66,156
66,157
66,158
66,159
66,160
66,161
66,162
66,163
66,164
66,845
66,846
66,165
66,166
66,847
66,167
67,136
68,280
68,281
68,282
68,283
68,284
68,285
68,118
68,286
68,135
69,866
69,287
69,118
69,288
70,289
71,149
71,150
72,266
72,267
72,152
72,144
72,145
72,146
72,147
72,148
72,843
73,70
73,67
73,831
73,79
73,68
73,71
73,73
75,155
75,276
75,290
75,291
75,179
75,278
75,292
75,275
75,293
75,279
75,294
75,295
75,251
75,296
75,297
75,867
75,247
75,248
75,246
75,298
75,70
75,71
75,72
