disease,protein
48,0
231,0
279,0
349,0
48,1
113,1
114,1
130,1
231,1
332,1
33,2
34,2
39,2
180,2
258,2
299,2
319,2
323,2
332,3
332,4
19,5
104,5
105,5
113,5
114,5
224,5
237,5
331,5
8,6
17,6
51,6
53,6
79,6
80,6
113,6
114,6
183,6
224,6
248,6
293,6
313,6
322,6
332,6
350,6
352,6
121,7
135,7
251,7
260,7
309,7
332,7
19,8
33,8
34,8
44,8
46,8
51,8
53,8
82,8
91,8
104,8
105,8
115,8
135,8
178,8
224,8
237,8
248,8
252,8
262,8
293,8
309,8
313,8
331,8
332,8
350,8
352,8
33,9
34,9
85,9
127,9
178,9
252,9
260,9
332,9
363,9
19,10
33,10
34,10
44,10
51,10
53,10
91,10
104,10
105,10
115,10
135,10
178,10
237,10
248,10
293,10
309,10
313,10
331,10
332,10
350,10
352,10
33,11
34,11
162,11
163,11
178,11
343,11
33,12
34,12
46,12
162,12
163,12
231,12
343,12
8,13
13,13
17,13
19,13
31,13
33,13
34,13
44,13
46,13
51,13
53,13
69,13
79,13
80,13
82,13
85,13
91,13
104,13
105,13
115,13
130,13
135,13
171,13
178,13
183,13
215,13
216,13
217,13
224,13
225,13
237,13
248,13
251,13
252,13
262,13
279,13
284,13
293,13
294,13
309,13
313,13
322,13
331,13
332,13
349,13
350,13
352,13
15,14
19,14
33,14
34,14
44,14
46,14
51,14
53,14
69,14
82,14
85,14
104,14
105,14
113,14
114,14
121,14
130,14
135,14
162,14
163,14
178,14
183,14
185,14
186,14
223,14
237,14
248,14
252,14
293,14
309,14
313,14
322,14
331,14
332,14
343,14
347,14
352,14
358,14
359,14
362,14
8,15
17,15
28,15
31,15
33,15
34,15
113,15
114,15
185,15
186,15
279,15
349,15
350,15
33,16
34,16
85,16
135,16
224,16
309,16
15,17
19,17
28,17
33,17
34,17
44,17
46,17
51,17
53,17
69,17
79,17
80,17
82,17
85,17
91,17
104,17
105,17
130,17
135,17
162,17
163,17
178,17
235,17
237,17
248,17
252,17
293,17
309,17
313,17
331,17
332,17
343,17
350,17
352,17
33,18
34,18
44,18
46,18
113,18
114,18
135,18
183,18
309,18
322,18
332,18
350,18
258,19
33,20
34,20
46,20
46,20
51,20
51,20
53,20
53,20
135,20
248,20
248,20
252,20
293,20
293,20
309,20
313,20
313,20
350,20
352,20
352,20
19,21
31,21
33,21
34,21
44,21
46,21
48,21
69,21
79,21
80,21
85,21
98,21
104,21
105,21
113,21
114,21
115,21
121,21
131,21
135,21
145,21
178,21
183,21
224,21
235,21
237,21
245,21
252,21
260,21
269,21
294,21
309,21
322,21
331,21
332,21
340,21
347,21
350,21
358,21
359,21
362,21
224,22
350,22
51,23
53,23
248,23
293,23
313,23
352,23
130,24
135,24
309,24
8,25
13,25
17,25
28,25
33,25
34,25
44,25
46,25
48,25
51,25
53,25
69,25
79,25
80,25
82,25
91,25
98,25
101,25
113,25
114,25
115,25
130,25
135,25
145,25
178,25
183,25
231,25
248,25
251,25
269,25
279,25
293,25
305,25
309,25
313,25
322,25
332,25
349,25
350,25
352,25
113,26
114,26
164,26
33,27
34,27
185,27
186,27
19,28
33,28
34,28
85,28
101,28
104,28
105,28
113,28
114,28
162,28
163,28
185,28
186,28
224,28
237,28
331,28
343,28
44,29
79,29
80,29
85,29
145,29
183,29
252,29
269,29
320,29
322,29
332,29
350,29
85,30
130,30
180,30
332,30
28,31
31,31
185,31
186,31
223,31
31,32
224,32
33,33
34,33
51,33
53,33
69,33
130,33
135,33
138,33
160,33
178,33
248,33
252,33
293,33
309,33
313,33
352,33
8,34
17,34
33,34
34,34
51,34
53,34
101,34
113,34
114,34
135,34
147,34
248,34
252,34
293,34
309,34
313,34
332,34
350,34
352,34
31,35
113,35
114,35
224,36
44,37
178,38
85,39
69,40
121,40
130,40
33,41
34,41
127,41
19,42
85,42
104,42
105,42
113,42
114,42
135,42
138,42
178,42
237,42
309,42
331,42
332,42
350,42
85,43
113,43
114,43
138,43
85,44
138,44
183,44
252,44
322,44
19,45
79,45
80,45
82,45
85,45
104,45
105,45
113,45
114,45
130,45
135,45
173,45
203,45
204,45
237,45
252,45
309,45
331,45
332,45
340,45
79,46
80,46
85,46
332,46
340,46
44,47
183,47
224,47
322,47
332,47
332,48
15,49
19,49
82,49
85,49
98,49
104,49
105,49
113,49
114,49
130,49
135,49
173,49
203,49
204,49
237,49
252,49
309,49
331,49
332,49
340,49
19,50
33,50
34,50
44,50
46,50
48,50
51,50
53,50
69,50
85,50
101,50
104,50
105,50
113,50
114,50
120,50
130,50
135,50
183,50
224,50
237,50
245,50
248,50
252,50
293,50
309,50
313,50
322,50
331,50
332,50
350,50
352,50
28,51
113,51
114,51
183,51
231,51
234,51
322,51
332,51
350,51
113,52
114,52
121,52
262,52
15,53
33,53
34,53
135,53
180,53
309,53
33,54
34,54
51,54
53,54
98,54
225,54
248,54
252,54
293,54
313,54
352,54
19,55
28,55
82,55
85,55
98,55
104,55
105,55
113,55
114,55
130,55
135,55
173,55
203,55
204,55
237,55
252,55
309,55
331,55
332,55
340,55
28,56
121,56
173,56
178,56
182,56
223,56
305,56
332,56
121,57
173,57
1,58
8,58
17,58
19,58
44,58
48,58
51,58
53,58
69,58
78,58
85,58
93,58
94,58
98,58
101,58
104,58
105,58
113,58
114,58
121,58
122,58
130,58
135,58
147,58
150,58
178,58
183,58
215,58
216,58
217,58
232,58
235,58
237,58
245,58
246,58
248,58
252,58
258,58
260,58
279,58
282,58
293,58
301,58
305,58
309,58
311,58
313,58
322,58
331,58
332,58
340,58
347,58
349,58
350,58
352,58
358,58
359,58
362,58
19,59
48,59
104,59
105,59
237,59
331,59
19,60
104,60
105,60
121,60
237,60
331,60
350,60
33,61
34,61
46,61
131,61
135,61
203,61
204,61
252,61
309,61
101,62
135,62
162,62
163,62
252,62
309,62
332,62
343,62
185,63
186,63
51,64
53,64
248,64
293,64
313,64
352,64
135,65
309,65
183,66
322,66
28,67
51,67
53,67
69,67
248,67
293,67
313,67
352,67
28,68
51,68
53,68
185,68
186,68
248,68
293,68
313,68
352,68
178,69
28,70
33,70
34,70
51,70
53,70
69,70
127,70
180,70
248,70
252,70
293,70
313,70
352,70
51,71
53,71
152,71
223,71
248,71
293,71
305,71
313,71
352,71
127,72
51,73
53,73
71,73
121,73
162,73
163,73
248,73
279,73
293,73
313,73
332,73
343,73
349,73
350,73
352,73
8,74
17,74
51,74
53,74
185,74
186,74
248,74
293,74
313,74
352,74
353,74
33,75
34,75
51,75
53,75
127,75
162,75
163,75
185,75
186,75
248,75
293,75
313,75
343,75
352,75
33,76
34,76
48,76
51,76
53,76
113,76
114,76
127,76
135,76
160,76
162,76
163,76
185,76
186,76
248,76
293,76
309,76
313,76
343,76
352,76
353,76
33,77
34,77
51,77
53,77
180,77
248,77
293,77
313,77
352,77
33,78
34,78
51,78
53,78
101,78
185,78
186,78
248,78
293,78
313,78
352,78
28,79
33,79
34,79
44,79
51,79
53,79
248,79
293,79
313,79
352,79
33,80
34,80
44,81
113,81
114,81
180,81
350,81
19,82
33,82
34,82
51,82
53,82
104,82
105,82
180,82
237,82
248,82
262,82
293,82
313,82
320,82
331,82
350,82
352,82
353,82
8,83
17,83
19,83
28,83
31,83
33,83
34,83
44,83
46,83
48,83
51,83
53,83
63,83
82,83
85,83
101,83
104,83
105,83
113,83
114,83
121,83
122,83
135,83
138,83
145,83
147,83
178,83
182,83
183,83
224,83
237,83
245,83
248,83
251,83
252,83
260,83
269,83
293,83
309,83
313,83
322,83
331,83
332,83
347,83
350,83
352,83
358,83
359,83
362,83
19,84
33,84
34,84
51,84
53,84
82,84
85,84
104,84
105,84
113,84
114,84
122,84
183,84
237,84
248,84
293,84
313,84
322,84
331,84
332,84
350,84
352,84
8,85
13,85
17,85
19,85
31,85
33,85
34,85
44,85
46,85
48,85
51,85
53,85
69,85
79,85
80,85
82,85
85,85
91,85
98,85
101,85
104,85
105,85
113,85
114,85
121,85
130,85
135,85
138,85
145,85
147,85
183,85
218,85
224,85
237,85
248,85
252,85
260,85
269,85
279,85
293,85
305,85
309,85
313,85
322,85
331,85
332,85
347,85
349,85
350,85
352,85
358,85
359,85
362,85
113,86
114,86
135,86
252,86
309,86
332,86
183,87
322,87
332,87
350,87
79,88
80,88
332,88
51,89
53,89
113,89
114,89
135,89
248,89
252,89
293,89
309,89
313,89
332,89
352,89
28,90
33,90
34,90
51,90
53,90
85,90
115,90
135,90
183,90
248,90
293,90
309,90
313,90
322,90
332,90
352,90
15,91
33,91
34,91
44,91
48,91
51,91
53,91
85,91
113,91
114,91
120,91
130,91
135,91
183,91
203,91
204,91
248,91
252,91
260,91
262,91
293,91
309,91
313,91
322,91
332,91
347,91
350,91
