drug,disease
274,5
79,37
79,34
79,35
79,265
513,312
513,108
95,79
95,86
95,102
95,307
95,66
343,85
343,177
343,264
343,174
343,197
343,201
152,37
152,34
152,35
152,265
453,135
330,236
44,284
262,154
13,154
57,192
257,3
257,116
257,90
257,114
257,280
113,155
113,86
113,261
588,312
588,78
588,108
202,88
161,279
161,257
385,102
410,225
147,210
147,117
383,38
383,118
383,27
480,211
490,241
242,161
242,174
242,312
242,108
120,236
529,162
529,269
529,166
478,23
98,73
98,86
98,210
133,30
133,310
133,312
133,78
133,130
133,108
559,177
559,197
30,69
571,169
525,19
525,123
482,299
297,118
297,119
148,142
74,142
539,109
539,135
499,241
397,9
397,160
397,30
397,79
397,86
397,90
397,102
397,112
397,66
397,305
397,293
397,273
397,94
261,87
459,12
108,17
108,103
83,69
462,72
230,185
230,147
422,55
390,205
390,220
390,271
421,165
421,192
421,232
421,38
421,211
421,106
421,133
421,94
421,141
217,284
29,272
29,41
29,68
29,86
29,38
29,292
29,144
29,148
434,232
141,162
141,269
213,312
213,82
213,108
160,264
160,174
160,312
160,218
160,108
466,86
466,115
361,307
360,250
360,277
360,230
324,79
61,31
61,118
61,119
543,312
543,108
164,282
164,32
164,49
164,93
37,61
37,312
37,108
438,14
438,104
438,150
90,241
90,212
483,128
377,61
377,278
377,62
377,108
339,31
339,118
555,263
250,17
250,103
374,162
374,269
84,193
84,15
84,206
84,99
84,98
84,233
84,238
33,214
224,129
224,108
186,61
186,278
186,62
186,108
514,61
514,278
514,62
514,108
407,173
407,26
518,118
118,79
528,162
528,269
528,166
528,232
528,149
370,156
370,161
370,166
370,264
370,174
370,312
370,82
370,218
370,113
370,108
86,86
386,86
493,69
493,117
493,230
188,6
188,101
188,110
188,221
188,117
188,247
432,181
432,204
432,241
432,213
432,228
58,79
58,102
249,86
63,267
39,57
39,79
39,86
39,102
39,66
14,82
14,243
14,244
590,312
590,108
471,19
471,20
471,58
471,241
471,128
471,75
517,281
517,264
517,174
517,312
517,82
517,130
517,108
226,6
226,41
226,111
226,1
226,135
226,148
34,31
34,118
34,119
34,1
404,16
404,48
404,241
404,222
67,63
67,193
67,15
67,206
67,241
67,214
67,233
201,61
201,312
201,108
487,299
487,312
487,108
558,268
208,162
208,115
185,124
185,160
185,56
185,86
185,204
185,112
185,66
185,305
185,125
185,293
180,5
180,185
495,86
248,133
365,156
365,166
365,264
365,174
365,312
365,218
365,108
182,79
182,135
278,37
278,34
278,35
278,265
92,312
92,108
119,86
22,3
22,232
22,114
10,160
10,86
10,112
10,66
10,305
10,293
570,162
510,22
510,32
195,14
195,251
195,230
195,147
210,162
210,79
210,232
210,220
210,115
246,251
199,16
199,48
199,193
199,241
199,214
199,219
199,222
199,137
199,238
48,5
48,43
48,183
48,306
48,182
48,109
48,117
48,226
48,138
582,257
582,131
582,132
582,283
59,15
59,92
59,241
59,38
59,220
325,185
325,149
589,32
589,93
258,206
260,74
367,237
542,109
542,117
456,0
456,160
456,215
456,216
456,112
456,66
456,305
456,117
456,1
456,135
456,293
232,299
232,69
232,272
232,60
232,73
232,312
232,86
232,121
232,108
232,1
318,30
318,260
318,273
66,22
66,168
122,135
379,86
379,307
96,79
96,307
96,66
564,208
81,3
81,19
81,175
81,258
81,128
81,274
81,151
429,162
429,269
429,149
9,120
504,79
387,155
387,272
387,86
387,102
387,107
6,211
6,94
159,290
159,18
159,178
159,289
159,87
159,102
159,246
159,135
159,259
415,181
415,193
415,204
415,276
415,15
415,206
415,241
415,233
353,193
353,99
353,98
353,241
353,219
353,235
569,42
569,264
569,174
569,275
526,30
526,272
526,176
526,196
526,80
526,96
526,260
526,38
526,292
526,273
545,181
545,206
545,241
288,181
288,88
288,276
288,206
288,241
550,205
550,271
511,312
511,86
511,108
492,69
492,86
4,33
4,252
4,266
4,270
4,51
88,42
88,139
88,151
548,192
216,192
537,162
537,32
537,181
537,264
537,49
537,192
537,174
537,79
537,95
537,241
537,212
537,115
537,133
537,275
537,94
537,141
132,164
132,171
132,170
132,173
132,182
132,253
132,184
573,69
573,57
198,79
198,307
346,272
346,177
346,100
204,86
237,8
237,160
237,254
237,86
237,90
237,112
237,66
237,305
237,293
336,264
336,251
394,277
394,230
65,241
357,160
357,86
357,112
357,66
357,305
357,293
139,311
139,299
572,307
97,79
97,102
97,246
458,82
458,200
112,311
112,299
112,312
112,130
112,108
384,189
461,79
461,87
461,105
461,307
534,79
534,100
168,61
168,278
168,62
168,108
411,273
76,23
345,5
93,102
93,246
544,19
544,58
544,99
544,98
544,241
544,128
41,311
41,299
41,23
317,79
349,287
349,7
349,31
416,82
416,257
416,113
416,108
362,61
362,278
362,62
362,108
239,155
239,312
239,86
239,261
239,130
239,108
489,282
489,86
424,16
424,19
424,58
424,193
424,276
424,167
424,206
424,241
424,214
424,219
424,222
424,235
424,143
424,153
124,79
124,87
565,139
565,284
181,86
181,111
268,162
268,269
268,166
49,102
49,294
49,297
49,298
49,296
49,246
235,312
235,82
532,23
531,190
531,97
531,239
531,142
191,118
191,119
562,162
562,269
276,162
276,269
276,61
276,278
276,62
276,87
166,19
166,241
540,129
540,108
540,141
364,312
364,108
16,82
16,200
16,223
16,243
290,102
290,246
205,75
38,284
503,109
32,312
32,108
308,14
308,263
308,147
329,3
329,19
329,175
329,258
329,128
516,128
516,274
272,175
272,258
375,156
375,161
375,166
375,264
375,174
375,312
375,218
375,108
372,86
412,3
412,175
412,42
412,139
412,258
412,284
412,151
241,177
315,177
315,197
313,160
313,86
313,112
313,66
313,305
313,293
326,193
326,241
326,137
326,238
576,288
576,75
418,19
389,14
389,263
389,251
389,147
399,0
440,312
440,130
440,108
445,72
445,74
335,312
335,108
231,160
231,86
231,112
231,66
231,305
231,293
340,86
524,155
524,13
524,6
524,86
524,261
491,190
491,97
491,239
515,299
470,22
470,168
460,181
460,193
460,15
460,92
460,206
460,241
460,233
285,103
285,210
28,162
28,269
240,282
100,245
214,8
214,19
214,20
214,58
214,241
179,295
179,43
179,210
179,109
179,117
179,135
508,19
508,175
508,199
254,135
351,192
296,4
296,160
296,95
296,112
296,66
296,305
296,293
193,128
238,162
238,269
468,72
24,109
24,117
227,142
414,162
414,269
414,166
190,312
190,82
190,108
557,177
557,197
425,102
398,19
578,158
289,156
289,161
289,166
289,264
289,174
289,71
289,312
289,82
289,218
289,113
289,108
423,163
423,262
423,302
423,300
423,285
423,303
423,301
423,308
423,248
423,73
423,86
423,102
423,111
423,1
423,234
423,146
279,287
279,7
279,31
163,19
163,288
163,75
541,72
541,74
541,224
585,38
435,37
435,34
435,35
435,265
479,37
52,37
52,34
52,35
52,265
455,37
455,34
455,35
455,265
556,160
556,112
556,66
556,305
556,293
265,81
2,19
2,42
2,128
2,274
371,79
53,312
53,108
500,312
500,108
437,69
437,312
437,108
209,18
209,178
209,259
243,192
196,40
196,60
196,135
196,138
474,30
474,260
474,273
553,312
553,78
553,108
426,3
426,161
426,33
426,264
426,174
426,312
426,108
402,86
402,307
309,32
309,192
309,115
102,86
102,307
430,288
430,99
430,98
430,241
430,228
430,75
430,140
223,79
223,86
156,155
156,185
156,73
156,225
156,147
295,3
295,114
450,160
450,79
450,86
450,90
450,210
450,112
450,66
450,305
450,293
91,311
91,299
505,181
505,276
505,206
506,193
506,15
506,92
506,206
506,241
506,238
467,312
467,78
467,129
467,108
251,304
251,206
251,241
251,44
172,69
172,266
172,270
172,86
172,117
303,8
338,264
338,174
338,312
338,218
338,108
103,160
103,281
103,49
103,50
103,229
103,86
103,203
103,102
103,112
103,66
103,305
103,293
105,162
105,269
105,166
441,37
441,312
441,82
441,34
441,35
441,265
441,108
320,20
320,181
320,204
320,241
51,162
51,269
51,166
454,162
454,269
454,23
368,310
368,14
368,129
368,108
439,310
439,14
413,276
413,284
70,312
70,130
70,108
498,22
498,168
498,279
498,220
527,86
433,160
433,79
433,112
433,66
433,305
433,293
175,254
175,86
244,17
244,312
244,103
244,121
244,108
17,227
222,0
222,177
222,197
222,135
167,14
167,263
167,147
547,19
547,241
11,180
271,61
271,278
271,62
271,108
234,172
183,214
431,19
267,20
267,222
267,127
0,42
0,91
0,126
0,128
0,274
0,261
0,284
352,241
519,177
519,262
519,302
519,300
519,285
519,303
519,301
519,308
519,248
519,197
522,190
522,61
522,97
522,108
522,239
428,86
538,118
538,1
488,162
488,115
125,42
125,139
125,151
169,64
169,240
169,65
169,217
77,86
75,64
75,240
75,65
75,217
546,249
546,69
302,30
302,310
302,312
302,82
302,108
21,183
21,306
21,182
21,226
560,135
31,210
31,117
31,144
281,312
281,78
281,82
281,108
54,310
54,72
149,135
591,14
591,147
270,177
270,39
270,197
270,207
270,145
177,12
27,8
273,60
273,312
273,78
273,108
396,86
245,3
245,42
245,288
245,75
245,151
115,12
115,19
115,151
341,160
341,50
341,112
341,66
341,305
341,293
447,214
447,219
447,235
448,287
448,7
448,31
170,86
206,6
127,155
127,272
127,79
443,232
443,149
443,15
443,92
443,206
60,232
392,135
104,37
104,34
104,35
104,265
104,139
104,127
106,86
574,69
574,250
574,277
574,230
321,240
225,165
225,16
225,19
225,20
225,181
225,48
225,58
225,192
225,193
225,189
225,204
225,276
225,15
