drug,protein
274,140
274,93
274,1747
274,5
274,103
274,135
274,205
274,207
274,206
274,2486
274,2457
274,245
274,244
274,246
274,1884
274,1578
274,90
274,134
274,96
274,101
274,2234
274,516
274,498
274,188
79,565
79,1652
79,693
79,2131
513,413
513,531
95,381
95,289
95,827
95,636
343,1268
343,442
343,2356
343,1809
343,2133
343,2568
343,2644
343,579
152,1225
453,13
453,62
44,1511
44,1698
44,52
44,1768
44,465
44,641
44,688
44,123
44,1749
262,599
262,1720
262,2147
262,379
57,139
113,490
113,2261
113,1770
113,1507
588,1
202,123
202,465
202,1511
202,52
202,1698
202,1768
202,617
202,1247
202,2498
161,329
385,2340
385,141
410,84
147,140
147,93
147,1747
147,5
147,103
147,135
147,205
147,207
147,206
147,2486
147,2457
147,245
147,244
147,246
147,1884
147,1578
147,140
147,93
147,1747
147,103
147,245
147,244
147,246
383,2645
383,516
383,13
383,795
383,151
383,240
480,471
490,2266
242,1711
242,2253
242,2353
242,1419
242,1518
242,527
242,2214
242,1648
242,583
120,198
120,900
529,2246
529,379
529,2147
529,209
478,1507
478,2417
478,1280
478,413
478,531
478,1230
478,1684
478,98
478,2176
478,2482
478,2371
478,2556
478,2345
478,2175
478,332
478,126
478,1728
478,71
478,51
478,1173
98,106
98,132
98,100
98,83
98,97
98,119
98,640
98,247
98,490
98,1770
98,82
98,1275
98,2107
98,1650
98,1257
98,1259
98,65
98,109
98,2261
98,122
98,2340
98,137
98,141
98,610
98,2108
98,2646
98,397
98,113
98,283
98,2475
98,76
98,1507
98,2417
98,1280
133,98
133,2556
133,2479
133,1878
133,1268
133,164
133,1684
133,2647
133,2479
559,140
559,93
559,1747
559,5
559,103
559,135
559,151
559,795
559,562
559,1782
30,57
30,10
30,153
30,1795
30,106
30,490
30,2261
30,1770
30,82
30,503
30,1731
30,413
30,531
30,1230
30,13
30,26
30,132
30,27
30,26
30,2648
571,2246
571,11
571,1299
571,183
571,107
571,2302
571,717
525,198
482,2307
297,3
297,13
297,7
297,1699
297,45
297,1731
297,503
297,83
297,100
297,2150
297,109
297,82
297,2340
297,141
148,433
148,2511
74,48
539,83
539,13
539,100
539,490
539,2261
539,7
539,2340
539,122
539,82
539,1731
539,1275
539,141
539,109
539,84
539,610
539,45
539,3
539,503
539,104
539,1699
539,2150
539,2348
539,413
539,531
539,1257
539,616
539,1259
539,397
539,113
539,283
539,2475
539,76
539,119
539,137
539,97
539,90
539,134
539,96
539,101
539,2234
539,516
539,498
539,10
539,132
261,1275
261,1507
261,1988
261,347
459,2649
108,413
108,531
83,106
83,132
83,90
83,134
83,96
83,101
83,2234
83,516
83,498
83,1793
83,119
462,504
462,572
462,350
462,209
462,939
230,397
230,113
230,283
230,2475
230,76
230,2506
230,151
230,570
422,1286
422,685
390,582
421,668
29,72
29,2334
434,71
434,289
434,381
434,427
213,74
160,467
160,500
160,1268
160,442
160,2356
466,2074
361,1714
360,57
360,82
360,490
360,10
324,1275
324,2475
324,397
324,76
324,113
324,283
543,1272
543,1784
543,1659
543,2301
543,523
543,1792
543,466
543,1462
543,2625
543,1507
164,139
37,413
37,531
438,113
438,397
438,283
438,2475
90,465
90,52
90,1768
483,62
377,390
377,1759
377,802
339,397
250,413
250,531
374,531
84,420
84,411
33,1842
33,2311
224,47
224,298
186,82
186,1731
186,503
514,442
514,1268
514,2356
514,1340
514,2568
407,289
407,381
518,13
518,7
518,2340
518,82
518,83
518,1731
518,503
518,2150
518,3
518,100
518,141
518,109
518,1699
518,45
518,490
518,2261
518,1770
518,122
118,397
118,1275
528,139
528,468
370,2329
370,2328
370,2601
370,2326
370,189
86,2074
86,390
386,119
386,137
386,97
386,212
493,10
493,106
493,240
493,84
188,83
188,13
188,7
188,3
188,490
188,2261
188,1770
58,140
58,93
58,1747
58,5
58,103
58,135
58,151
58,795
58,562
58,1782
58,140
58,93
58,1747
58,5
58,103
58,135
58,205
58,207
58,206
58,2486
58,2457
58,245
58,244
58,246
58,1884
58,1578
249,119
249,97
249,137
63,13
63,2150
63,7
63,100
63,503
63,2340
63,3
63,82
63,83
63,1731
63,1699
63,45
63,141
63,109
63,122
63,490
63,2261
63,1770
63,413
63,531
63,45
63,1699
39,379
39,107
39,2078
39,599
39,2625
39,1462
39,2237
39,118
39,183
39,107
39,2302
39,717
39,1053
39,751
39,2246
39,1299
39,414
39,2650
39,2375
39,534
39,1902
39,1054
39,840
39,2651
39,2614
39,1318
39,214
39,213
39,215
39,993
39,1051
39,1052
39,1044
39,1720
39,2147
39,1462
39,717
39,1299
39,414
14,14
14,1616
590,389
471,2
517,74
517,120
517,49
517,2451
517,1997
226,406
226,2074
226,67
226,1813
226,1814
226,2079
226,1714
226,2195
226,1655
226,2267
226,151
226,613
34,1821
67,121
201,413
201,531
487,413
487,490
487,2555
487,531
487,409
487,1789
487,660
487,1507
487,670
487,1770
487,2261
487,1731
487,503
487,82
487,649
487,801
487,2198
487,1250
487,490
487,2261
487,1770
558,2652
558,2653
558,2654
558,2655
558,2656
558,604
558,881
558,314
208,2657
208,2658
208,650
185,289
185,1804
185,442
185,2568
185,2659
180,140
180,93
180,1747
180,5
